char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price
ك س ط,T S K,ك,س,ط,K,S,T,80,18000
ر ك ن,N K R,ر,ك,ن,R,K,N,3666,7000
هـ ك ق,G K H,هـ,ك,ق,H,K,G,80,14000
د ر أ,A R D,د,ر,أ,D,R,A,9997,8000
م ل ح,J L Z,م,ل,ح,Z,L,J,880,23000
م ل ك,K L Z,م,ل,ك,Z,L,K,390,25000
م أ ن,N A Z,م,أ,ن,Z,A,N,600,50000
هـ ل و,U L H,هـ,ل,و,H,L,U,71,50000
ب ع ح,J E B,ب,ع,ح,B,E,J,4444,15000
ع و ح,J U E,ع,و,ح,E,U,J,7,58000
ن ح ق,G J N,ن,ح,ق,N,J,G,41,11500
د هـ د,D H D,د,هـ,د,D,H,D,313,9000
هـ هـ و,U H H,هـ,هـ,و,H,H,U,97,18000
ص ى ب,B V X,ص,ى,ب,X,V,B,2,110000
ح ك ك,K K J,ح,ك,ك,J,K,K,9,32000
م ن ى,V N Z,م,ن,ى,Z,N,V,73,35000
ر ك هـ,H K R,ر,ك,هـ,R,K,H,5000,16000
ق ر ح,J R G,ق,ر,ح,G,R,J,800,14000
ن و ر,R U N,ن,و,ر,N,U,R,833,28000
م م م,Z Z Z,م,م,م,Z,Z,Z,828,50000
د أ س,S A D,د,أ,س,D,A,S,55,40000
ب ب ب,B B B,ب,ب,ب,B,B,B,614,15000
ح س د,D S J,ح,س,د,J,S,D,1144,3500
ق ل م,Z L G,ق,ل,م,G,L,Z,470,7500
س ح ح,J J S,س,ح,ح,S,J,J,80,10000
م ع ع,E E Z,م,ع,ع,Z,E,E,231,2500
ن أ ع,E A N,ن,أ,ع,N,A,E,50,19500
ب ى أ,A V B,ب,ى,أ,B,V,A,9000,12000
ر ن و,U N R,ر,ن,و,R,N,U,7900,8000
ل هـ هـ,H H L,ل,هـ,هـ,L,H,H,8,100000
ص ب ل,L B X,ص,ب,ل,X,B,L,12,15000
ى ب ب,B B V,ى,ب,ب,V,B,B,395,5000
ر ق م,Z G R,ر,ق,م,R,G,Z,2993,2000
ب ص أ,A X B,ب,ص,أ,B,X,A,4111,6000
ر ع د,D E R,ر,ع,د,R,E,D,4884,12000
ح س ن,N S J,ح,س,ن,J,S,N,6611,20000
ح ح ح,J J J,ح,ح,ح,J,J,J,2226,25000
د ق ر,R G D,د,ق,ر,D,G,R,5,80000
ل ط د,D T L,ل,ط,د,L,T,D,26,15000
ل ط و,U T L,ل,ط,و,L,T,U,3,90000
ق ل أ,A L G,ق,ل,أ,G,L,A,911,25000
ص أ ن,N A X,ص,أ,ن,X,A,N,300,17000
ر ن ق,G N R,ر,ن,ق,R,N,G,3000,27000
أ أ ط,T A A,أ,أ,ط,A,A,T,700,3500
ر م ر,R Z R,ر,م,ر,R,Z,R,7778,9000
د ص د,D X D,د,ص,د,D,X,D,6966,3000
ن ط ع,E T N,ن,ط,ع,N,T,E,44,25000
ح ط م,Z T J,ح,ط,م,J,T,Z,202,10500
هـ ب ط,T B H,هـ,ب,ط,H,B,T,9,85000
أ م ن,N Z A,أ,م,ن,A,Z,N,252,40000
ب ح ح,J J B,ب,ح,ح,B,J,J,1344,13000
أ و د,D U A,أ,و,د,A,U,D,77,60000
هـ ق و,U G H,هـ,ق,و,H,G,U,4,85000
س م ى,V Z S,س,م,ى,S,Z,V,9,250000
ن ن أ,A N N,ن,ن,أ,N,N,A,399,20000
ل ل ص,X L L,ل,ل,ص,L,L,X,14,20000
أ أ س,S A A,أ,أ,س,A,A,S,570,10000
ر ن هـ,H N R,ر,ن,هـ,R,N,H,8,30000
ر س ط,T S R,ر,س,ط,R,S,T,2222,18500
ح ح ق,G J J,ح,ح,ق,J,J,G,3333,28000
د ص ى,V X D,د,ص,ى,D,X,V,3333,18000
ر ل ر,R L R,ر,ل,ر,R,L,R,8,30000
د و ع,E U D,د,و,ع,D,U,E,88,25000
س ط ر,R T S,س,ط,ر,S,T,R,237,11000
ل ب ك,K B L,ل,ب,ك,L,B,K,41,13000
د ب ص,X B D,د,ب,ص,D,B,X,5955,3500
ب ع م,Z E B,ب,ع,م,B,E,Z,8888,9000
هـ د ع,E D H,هـ,د,ع,H,D,E,19,14500
ك د ص,X D K,ك,د,ص,K,D,X,333,19500
أ ب ق,G B A,أ,ب,ق,A,B,G,3,70000
ر ط ر,R T R,ر,ط,ر,R,T,R,3,85000
س أ ق,G A S,س,أ,ق,S,A,G,4,85000
و س أ,A S U,و,س,أ,U,S,A,9,75000
ر و ح,J U R,ر,و,ح,R,U,J,78,40000
ص ص ص,X X X,ص,ص,ص,X,X,X,733,39000
ن و ن,N U N,ن,و,ن,N,U,N,440,29000
د د د,D D D,د,د,د,D,D,D,506,50000
س هـ ب,B H S,س,هـ,ب,S,H,B,44,20000
ح ر ل,L R J,ح,ر,ل,J,R,L,33,20000
ك ق ق,G G K,ك,ق,ق,K,G,G,800,10500
ن ن م,Z N N,ن,ن,م,N,N,Z,400,13500
ص ك و,U K X,ص,ك,و,X,K,U,8,100000
و ر س,S R U,و,ر,س,U,R,S,86,14000
ى ح د,D J V,ى,ح,د,V,J,D,91,25000
و ر د,D R U,و,ر,د,U,R,D,730,27000
أ ل هـ,H L A,أ,ل,هـ,A,L,H,370,8000
ب ط ن,N T B,ب,ط,ن,B,T,N,7774,2500
د ح ح,J J D,د,ح,ح,D,J,J,2020,15000
ط ق ط,T G T,ط,ق,ط,T,G,T,94,19000
م ق س,S G Z,م,ق,س,Z,G,S,50,18000
د ع ح,J E D,د,ع,ح,D,E,J,8880,8000
د م ط,T Z D,د,م,ط,D,Z,T,9009,8000
م ر هـ,H R Z,م,ر,هـ,Z,R,H,14,67500
ل ع س,S E L,ل,ع,س,L,E,S,50,18500
د ى أ,A V D,د,ى,أ,D,V,A,666,40000
ر ن و,U N R,ر,ن,و,R,N,U,3633,5000
ب ط ل,L T B,ب,ط,ل,B,T,L,1897,90000
ى ر س,S R V,ى,ر,س,V,R,S,70,20000
س ى ح,J V S,س,ى,ح,S,V,J,77,35000
و ط ن,N T U,و,ط,ن,U,T,N,766,300000
أ أ أ,A A A,أ,أ,أ,A,A,A,2116,7000
ر ع ح,J E R,ر,ع,ح,R,E,J,3233,2000
أ ن هـ,H N A,أ,ن,هـ,A,N,H,305,30000
ب ن ق,G N B,ب,ن,ق,B,N,G,55,18000
ح أ د,D A J,ح,أ,د,J,A,D,1441,3000
ح ن ق,G N J,ح,ن,ق,J,N,G,4,70000
ح ر ب,B R J,ح,ر,ب,J,R,B,8760,4000
هـ ن و,U N H,هـ,ن,و,H,N,U,282,25000
ح م ب,B Z J,ح,م,ب,J,Z,B,44,19000
ح ص هـ,H X J,ح,ص,هـ,J,X,H,5708,15000
د أ ع,E A D,د,أ,ع,D,A,E,62,20000
ب ق و,U G B,ب,ق,و,B,G,U,333,32000
ل هـ ط,T H L,ل,هـ,ط,L,H,T,6,75000
ع و ل,L U E,ع,و,ل,E,U,L,707,30000
ب ب ب,B B B,ب,ب,ب,B,B,B,6368,7500
ب أ هـ,H A B,ب,أ,هـ,B,A,H,14,35000
م ى م,Z V Z,م,ى,م,Z,V,Z,65,45000
س ط م,Z T S,س,ط,م,S,T,Z,56,38000
ق م ن,N Z G,ق,م,ن,G,Z,N,2,90000
ب ع ط,T E B,ب,ع,ط,B,E,T,8888,15000
ر ط ح,J T R,ر,ط,ح,R,T,J,1995,2000
ح ر ب,B R J,ح,ر,ب,J,R,B,700,90000
د ص ص,X X D,د,ص,ص,D,X,X,7717,3500
ر ل ك,K L R,ر,ل,ك,R,L,K,3993,3500
ر ن هـ,H N R,ر,ن,هـ,R,N,H,9994,7000
هـ ب هـ,H B H,هـ,ب,هـ,H,B,H,953,15000
ع س ن,N S E,ع,س,ن,E,S,N,909,13000
ح ر ب,B R J,ح,ر,ب,J,R,B,5146,5000
هـ س ع,E S H,هـ,س,ع,H,S,E,94,11000
ع و ن,N U E,ع,و,ن,E,U,N,409,20000
د د د,D D D,د,د,د,D,D,D,27,45000
هـ ب هـ,H B H,هـ,ب,هـ,H,B,H,953,14999
و أ ص,X A U,و,أ,ص,U,A,X,27,12000
م ح أ,A J Z,م,ح,أ,Z,J,A,88,25000
هـ هـ ب,B H H,هـ,هـ,ب,H,H,B,770,13000
ر ع ر,R E R,ر,ع,ر,R,E,R,3444,4000
ن د هـ,H D N,ن,د,هـ,N,D,H,211,18000
ق أ ى,V A G,ق,أ,ى,G,A,V,38,11000
ر ل س,S L R,ر,ل,س,R,L,S,49,11000
ب ل و,U L B,ب,ل,و,B,L,U,77,60000
د و ك,K U D,د,و,ك,D,U,K,900,28000
