char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price
ر   ص   ط,T   X   R,ر,ص,ط,R,X,T,707,15000
ه   ق   ط,T   G   H,ه,ق,ط,H,G,T,53,10000
و   ح   ن,N   J   U,و,ح,ن,U,J,N,55,25000
ن   د   ى,V   D   N,ن,د,ى,N,D,V,346,6500
ق   ى   ل,L   V   G,ق,ى,ل,G,V,L,570,5000
ر   ط   ط,T   T   R,ر,ط,ط,R,T,T,9999,34000
ح   ط   ن,N   T   J,ح,ط,ن,J,T,N,55,50
ا   ى   و,U   V   A,ا,ى,و,A,V,U,22,20000
ر   ا   ح,J   A   R,ر,ا,ح,R,A,J,7666,10000
ع   س   ر,R   S   E,ع,س,ر,E,S,R,858,10000
ك   س   ن,N   S   K,ك,س,ن,K,S,N,504,4000
ى   س   ع,E   S   V,ى,س,ع,V,S,E,52,13000
ق   د   ق,G   D   G,ق,د,ق,G,D,G,103,1
م   ه   ب,B   H   Z,م,ه,ب,Z,H,B,177,5000
ط   ط   د,D   T   T,ط,ط,د,T,T,D,4,1
ك   م   ق,G   Z   K,ك,م,ق,K,Z,G,209,3800
ا   س   د,D   S   A,ا,س,د,A,S,D,186,15000
ه   ص   ص,X   X   H,ه,ص,ص,H,X,X,6,70
ق   و   ه,H   U   G,ق,و,ه,G,U,H,477,10
ح   ق   ح,J   G   J,ح,ق,ح,J,G,J,6161,6100
ى   د   ع,E   D   V,ى,د,ع,V,D,E,17,12000
د   ق   ل,L   G   D,د,ق,ل,D,G,L,86,1
ى   ح   و,U   J   V,ى,ح,و,V,J,U,1,400
ل   م   ا,A   Z   L,ل,م,ا,L,Z,A,4,100000
س   م   ى,V   Z   S,س,م,ى,S,Z,V,8,100
د   و   ن,N   U   D,د,و,ن,D,U,N,2857,10000
ه   و   س,S   U   H,ه,و,س,H,U,S,2,999
ه   ط   و,U   T   H,ه,ط,و,H,T,U,500,10000
ا   ب   س,S   B   A,ا,ب,س,A,B,S,4404,9000
ه   ن   ع,E   N   H,ه,ن,ع,H,N,E,8,55000
ع   ب   ا,A   B   E,ع,ب,ا,E,B,A,9,65000
ك   س   ن,N   S   K,ك,س,ن,K,S,N,77,21000
ه   ن   س,S   N   H,ه,ن,س,H,N,S,22,25000
ل   م   ق,G   Z   L,ل,م,ق,L,Z,G,7,60000
ى   و   ح,J   U   V,ى,و,ح,V,U,J,406,5000
ر   ص   م,Z   X   R,ر,ص,م,R,X,Z,1555,10000
د   ق   و,U   G   D,د,ق,و,D,G,U,82,8000
ط   د   ا,A   D   T,ط,د,ا,T,D,A,12,18500
ل   ب   ح,J   B   L,ل,ب,ح,L,B,J,12,15000
ع   ر   ا,A   R   E,ع,ر,ا,E,R,A,727,4500
ا   ى   و,U   V   A,ا,ى,و,A,V,U,22,20000
ر   ر   ر,R   R   R,ر,ر,ر,R,R,R,375,4000
ن   و   و,U   U   N,ن,و,و,N,U,U,947,10000
ى   ح   ط,T   J   V,ى,ح,ط,V,J,T,704,3000
ر   ك   ك,K   K   R,ر,ك,ك,R,K,K,3,140000
ه   م   س,S   Z   H,ه,م,س,H,Z,S,323,20000
ر   ص   ب,B   X   R,ر,ص,ب,R,X,B,322,5000
س   ع   ه,H   E   S,س,ع,ه,S,E,H,52,15000
س   ط   ص,X   T   S,س,ط,ص,S,T,X,5,55
ر   ى   ح,J   V   R,ر,ى,ح,R,V,J,877,9000
ب   ل   ع,E   L   B,ب,ل,ع,B,L,E,2030,15000
ل   ر   ص,X   R   L,ل,ر,ص,L,R,X,44,22000
ح   ص   ه,H   X   J,ح,ص,ه,J,X,H,2335,7000
ح   ل   ا,A   L   J,ح,ل,ا,J,L,A,2660,3500
ا   و   ص,X   U   A,ا,و,ص,A,U,X,9448,1000
ب   ى   م,Z   V   B,ب,ى,م,B,V,Z,4,500000
و   س   م,Z   S   U,و,س,م,U,S,Z,2,500
د   ن   و,U   N   D,د,ن,و,D,N,U,194,10000
ط   ن   ر,R   N   T,ط,ن,ر,T,N,R,666,35000
ب   د   ر,R   D   B,ب,د,ر,B,D,R,9010,20000
م   ل   ى,V   L   Z,م,ل,ى,Z,L,V,425,15000
ع   ق   ى,V   G   E,ع,ق,ى,E,G,V,505,9000
و   س   م,Z   S   U,و,س,م,U,S,Z,222,100
ع   ا   ص,X   A   E,ع,ا,ص,E,A,X,100,130
ه   ق   ح,J   G   H,ه,ق,ح,H,G,J,1,400
ب   و   ك,K   U   B,ب,و,ك,B,U,K,1222,10
م   ع   ط,T   E   Z,م,ع,ط,Z,E,T,3,100000
ح   ى   ر,R   V   J,ح,ى,ر,J,V,R,494,6
ص   م   ح,J   Z   X,ص,م,ح,X,Z,J,441,5500
ب   ط   ل,L   T   B,ب,ط,ل,B,T,L,90,100000
ب   ل   د,D   L   B,ب,ل,د,B,L,D,505,100000
ط   ق   س,S   G   T,ط,ق,س,T,G,S,3,250000
ح   ل   ا,A   L   J,ح,ل,ا,J,L,A,960,30999
ك   م   ص,X   Z   K,ك,م,ص,K,Z,X,100,15000
ك   ط   ن,N   T   K,ك,ط,ن,K,T,N,95,10000
و   ح   ه,H   J   U,و,ح,ه,U,J,H,4,25000
ه   و   و,U   U   H,ه,و,و,H,U,U,19,22000
ب   ى   ص,X   V   B,ب,ى,ص,B,V,X,80,15000
ب   ب   و,U   B   B,ب,ب,و,B,B,U,6444,1
ب   د   ر,R   D   B,ب,د,ر,B,D,R,7775,1
ص   ه   ع,E   H   X,ص,ه,ع,X,H,E,26,12500
ر   ر   ن,N   R   R,ر,ر,ن,R,R,N,9400,2500
د   ر   ع,E   R   D,د,ر,ع,D,R,E,103,1
د   ل   ه,H   L   D,د,ل,ه,D,L,H,1116,10000
و   ط   ل,L   T   U,و,ط,ل,U,T,L,8,1
د   ص   س,S   X   D,د,ص,س,D,X,S,33,50000
ه   و   ن,N   U   H,ه,و,ن,H,U,N,31,23000
ب   ن   ك,K   N   B,ب,ن,ك,B,N,K,5858,5000
د   ق   ك,K   G   D,د,ق,ك,D,G,K,4445,5000
و   ح   ه,H   J   U,و,ح,ه,U,J,H,4,85000
م   ع   ك,K   E   Z,م,ع,ك,Z,E,K,702,15000
ح   ا   ب,B   A   J,ح,ا,ب,J,A,B,2202,40000
ر   ك   ه,H   K   R,ر,ك,ه,R,K,H,9994,6000
د   ط   ط,T   T   D,د,ط,ط,D,T,T,9740,3000
ك   و   ط,T   U   K,ك,و,ط,K,U,T,25,25000
ك   م   ل,L   Z   K,ك,م,ل,K,Z,L,909,10000
ا   ح   ن,N   J   A,ا,ح,ن,A,J,N,6622,10000
ن   ع   ن,N   E   N,ن,ع,ن,N,E,N,506,25000
د   د   ق,G   D   D,د,د,ق,D,D,G,9009,5500
س   ن   ط,T   N   S,س,ن,ط,S,N,T,8,55000
س   د   ع,E   D   S,س,د,ع,S,D,E,26,30000
م   ا   و,U   A   Z,م,ا,و,Z,A,U,94,25000
س   ن   ط,T   N   S,س,ن,ط,S,N,T,8,55000
ح   ط   ن,N   T   J,ح,ط,ن,J,T,N,55,18000
ر   م   ب,B   Z   R,ر,م,ب,R,Z,B,560,1
د   ل   ه,H   L   D,د,ل,ه,D,L,H,66,27000
ا   م   س,S   Z   A,ا,م,س,A,Z,S,4511,1500
ك   ى   ك,K   V   K,ك,ى,ك,K,V,K,638,8000
د   ق   د,D   G   D,د,ق,د,D,G,D,656,10000
ط   س   ل,L   S   T,ط,س,ل,T,S,L,24,15
ح   ط   ن,N   T   J,ح,ط,ن,J,T,N,55,30000
ح   ص   م,Z   X   J,ح,ص,م,J,X,Z,998,5000
ه   و   و,U   U   H,ه,و,و,H,U,U,90,60000
ح   ى   ل,L   V   J,ح,ى,ل,J,V,L,11,100000
م   ه   ب,B   H   Z,م,ه,ب,Z,H,B,98,20000
ب   د   و,U   D   B,ب,د,و,B,D,U,1902,8500
ب   د   ب,B   D   B,ب,د,ب,B,D,B,8952,3000
ه   ك   ن,N   K   H,ه,ك,ن,H,K,N,540,1
ح   ص   ه,H   X   J,ح,ص,ه,J,X,H,3030,15000
ه   ط   ح,J   T   H,ه,ط,ح,H,T,J,767,10500
ع   ب   ب,B   B   E,ع,ب,ب,E,B,B,222,10000
و   س   ن,N   S   U,و,س,ن,U,S,N,2,47000
ك   ل   ى,V   L   K,ك,ل,ى,K,L,V,444,25000
م   ط   ط,T   T   Z,م,ط,ط,Z,T,T,979,8000
و   ا   و,U   A   U,و,ا,و,U,A,U,18,85000
م   ه   ه,H   H   Z,م,ه,ه,Z,H,H,848,6000
و   م   ر,R   Z   U,و,م,ر,U,Z,R,7,200000
ل   س   و,U   S   L,ل,س,و,L,S,U,292,5500
ط   ى   س,S   V   T,ط,ى,س,T,V,S,9,5
و   س   ه,H   S   U,و,س,ه,U,S,H,212,8000
م   ه   م,Z   H   Z,م,ه,م,Z,H,Z,750,45000
ه   ك   ك,K   K   H,ه,ك,ك,H,K,K,109,25000
س   ص   ط,T   X   S,س,ص,ط,S,X,T,999,15000
م   س   ك,K   S   Z,م,س,ك,Z,S,K,195,12000
ع   م   ح,J   Z   E,ع,م,ح,E,Z,J,141,10000
م   س   ك,K   S   Z,م,س,ك,Z,S,K,195,10000
ه   م   ح,J   Z   H,ه,م,ح,H,Z,J,464,12000
ر   ب   ع,E   B   R,ر,ب,ع,R,B,E,5356,5500
و   ا   ا,A   A   U,و,ا,ا,U,A,A,617,10
و   ل   ك,K   L   U,و,ل,ك,U,L,K,900,15000
ح   ق   ا,A   G   J,ح,ق,ا,J,G,A,6450,1
ا   ا   س,S   A   A,ا,ا,س,A,A,S,70,17000
د   ب   س,S   B   D,د,ب,س,D,B,S,11,35000
ه   ص   د,D   X   H,ه,ص,د,H,X,D,12,15000
م   ق   م,Z   G   Z,م,ق,م,Z,G,Z,696,10000
ك   م   س,S   Z   K,ك,م,س,K,Z,S,707,13000
ك   ا   ا,A   A   K,ك,ا,ا,K,A,A,945,5000
م   و   د,D   U   Z,م,و,د,Z,U,D,844,1
ا   د   ا,A   D   A,ا,د,ا,A,D,A,1446,1500
ح   س   ن,N   S   J,ح,س,ن,J,S,N,4490,7500
ص   س   ى,V   S   X,ص,س,ى,X,S,V,771,1
م   م   ا,A   Z   Z,م,م,ا,Z,Z,A,164,15000
ه   ص   و,U   X   H,ه,ص,و,H,X,U,110,7000
ح   و   ر,R   U   J,ح,و,ر,J,U,R,9277,3500
و   ك   ك,K   K   U,و,ك,ك,U,K,K,844,10000
ر   ح   ل,L   J   R,ر,ح,ل,R,J,L,4387,1
ب   ح   ب,B   J   B,ب,ح,ب,B,J,B,7728,1
و   ط   م,Z   T   U,و,ط,م,U,T,Z,14,20000
ح   ر   ب,B   R   J,ح,ر,ب,J,R,B,8891,10000
ص   س   ى,V   S   X,ص,س,ى,X,S,V,771,2500
م   ل   ح,J   L   Z,م,ل,ح,Z,L,J,472,1
م   ك   ه,H   K   Z,م,ك,ه,Z,K,H,672,10000
د   ك   ص,X   K   D,د,ك,ص,D,K,X,209,10000
و   ا   و,U   A   U,و,ا,و,U,A,U,789,15000
و   ر   د,D   R   U,و,ر,د,U,R,D,37,45
د   ل   ع,E   L   D,د,ل,ع,D,L,E,8600,15000
س   م   و,U   Z   S,س,م,و,S,Z,U,721,50000
ح   د   ى,V   D   J,ح,د,ى,J,D,V,614,5000
ح   ن   ل,L   N   J,ح,ن,ل,J,N,L,555,40000
ص   ب   ا,A   B   X,ص,ب,ا,X,B,A,199,22000
ى   د   ق,G   D   V,ى,د,ق,V,D,G,282,8500
س   و   ح,J   U   S,س,و,ح,S,U,J,4,150000
ا   ن   ص,X   N   A,ا,ن,ص,A,N,X,9900,5000
ح   ق   د,D   G   J,ح,ق,د,J,G,D,11,70000
ع   د   س,S   D   E,ع,د,س,E,D,S,796,10
ب   ه   ص,X   H   B,ب,ه,ص,B,H,X,7333,6000
د   ك   ك,K   K   D,د,ك,ك,D,K,K,447,10000
ن   ر   م,Z   R   N,ن,ر,م,N,R,Z,24,25000
ا   ى   ن,N   V   A,ا,ى,ن,A,V,N,67,10
ى   ه   ط,T   H   V,ى,ه,ط,V,H,T,500,10000
ع   م   ل,L   Z   E,ع,م,ل,E,Z,L,300,5
ح   و   ر,R   U   J,ح,و,ر,J,U,R,991,16000
م   د   ا,A   D   Z,م,د,ا,Z,D,A,8,70000
ن   ق   س,S   G   N,ن,ق,س,N,G,S,10,25000
ر   ه   ب,B   H   R,ر,ه,ب,R,H,B,808,18000
ر   ه   ب,B   H   R,ر,ه,ب,R,H,B,808,20000
ا   ح   س,S   J   A,ا,ح,س,A,J,S,9992,5000
ا   ح   ب,B   J   A,ا,ح,ب,A,J,B,197,10000
س   م   ا,A   Z   S,س,م,ا,S,Z,A,1,90000
و   ص   ع,E   X   U,و,ص,ع,U,X,E,40,13
ق   ح   و,U   J   G,ق,ح,و,G,J,U,17,1
ب   ر   س,S   R   B,ب,ر,س,B,R,S,1,600000
ب   ا   ن,N   A   B,ب,ا,ن,B,A,N,715,7000
ه   ق   ا,A   G   H,ه,ق,ا,H,G,A,5,120000
ر   ق   م,Z   G   R,ر,ق,م,R,G,Z,2016,8000
ح   ه   ع,E   H   J,ح,ه,ع,J,H,E,9777,35000
س   ع   د,D   E   S,س,ع,د,S,E,D,7800,1
ا   م   ل,L   Z   A,ا,م,ل,A,Z,L,5770,1
ه   ن   و,U   N   H,ه,ن,و,H,N,U,812,10000
ح   ل   و,U   L   J,ح,ل,و,J,L,U,4317,10000
ق   ى   ك,K   V   G,ق,ى,ك,G,V,K,6,60000
ط   ط   ل,L   T   T,ط,ط,ل,T,T,L,282,8000
ح   ح   س,S   J   J,ح,ح,س,J,J,S,23,12000
د   ب   س,S   B   D,د,ب,س,D,B,S,11,31000
ن   ح   ا,A   J   N,ن,ح,ا,N,J,A,3,45000
ع   و   و,U   U   E,ع,و,و,E,U,U,226,7000
ر   د   ع,E   D   R,ر,د,ع,R,D,E,2525,10000
ق   و   ى,V   U   G,ق,و,ى,G,U,V,172,60000
و   و   ط,T   U   U,و,و,ط,U,U,T,790,15000
ط   ط   ل,L   T   T,ط,ط,ل,T,T,L,55,50000
م   م   ر,R   Z   Z,م,م,ر,Z,Z,R,955,1
ب   ى   ع,E   V   B,ب,ى,ع,B,V,E,2828,1
س   ع   د,D   E   S,س,ع,د,S,E,D,8243,8000
ب   ق   م,Z   G   B,ب,ق,م,B,G,Z,2777,10000
ص   ن   ب,B   N   X,ص,ن,ب,X,N,B,44,20000
ح   ط   و,U   T   J,ح,ط,و,J,T,U,90,32000
ب   ب   ع,E   B   B,ب,ب,ع,B,B,E,222,10000
و   د   و,U   D   U,و,د,و,U,D,U,59,20
ا   ص   س,S   X   A,ا,ص,س,A,X,S,9992,1
ر   ط   ى,V   T   R,ر,ط,ى,R,T,V,1118,100
ل   ل   ح,J   L   L,ل,ل,ح,L,L,J,747,1
ح   ن   و,U   N   J,ح,ن,و,J,N,U,76,25000
ب   ب   و,U   B   B,ب,ب,و,B,B,U,2012,30000
م   ك   و,U   K   Z,م,ك,و,Z,K,U,600,9800
ح   ر   ك,K   R   J,ح,ر,ك,J,R,K,9000,12000
ا   ل   ح,J   L   A,ا,ل,ح,A,L,J,5511,5000
س   ع   د,D   E   S,س,ع,د,S,E,D,6024,5000
و   م   ر,R   Z   U,و,م,ر,U,Z,R,7,150000
ا   ص   ه,H   X   A,ا,ص,ه,A,X,H,11,70000
س   د   ر,R   D   S,س,د,ر,S,D,R,838,10
د   ا   ك,K   A   D,د,ا,ك,D,A,K,7267,1200
س   م   و,U   Z   S,س,م,و,S,Z,U,18,20
ب   س   و,U   S   B,ب,س,و,B,S,U,25,20000
ع   م   ر,R   Z   E,ع,م,ر,E,Z,R,789,45000
ب   ك   د,D   K   B,ب,ك,د,B,K,D,2111,3500
ب   د   س,S   D   B,ب,د,س,B,D,S,7111,3500
س   ق   ه,H   G   S,س,ق,ه,S,G,H,24,26000
و   ل   ل,L   L   U,و,ل,ل,U,L,L,877,7000
ن   ن   ر,R   N   N,ن,ن,ر,N,N,R,70,25000
ر   ل   ل,L   L   R,ر,ل,ل,R,L,L,741,700
ر   ك   ا,A   K   R,ر,ك,ا,R,K,A,9,45
ط   ى   ن,N   V   T,ط,ى,ن,T,V,N,24,20000
ه   ط   ا,A   T   H,ه,ط,ا,H,T,A,99,20
ق   ه   م,Z   H   G,ق,ه,م,G,H,Z,96,12000
س   ى   ى,V   V   S,س,ى,ى,S,V,V,77,50000
ص   ب   ص,X   B   X,ص,ب,ص,X,B,X,444,30000
ا   ا   ل,L   A   A,ا,ا,ل,A,A,L,775,5500
ى   ط   س,S   T   V,ى,ط,س,V,T,S,29,13800
د   ق   ه,H   G   D,د,ق,ه,D,G,H,740,12000
ح   ب   ه,H   B   J,ح,ب,ه,J,B,H,545,12000
ر   ص   د,D   X   R,ر,ص,د,R,X,D,966,10000
ب   ب   ى,V   B   B,ب,ب,ى,B,B,V,82,25000
س   ا   د,D   A   S,س,ا,د,S,A,D,38,15000
د   د   ا,A   D   D,د,د,ا,D,D,A,3333,23000
ع   ط   م,Z   T   E,ع,ط,م,E,T,Z,21,15000
ح   و   ب,B   U   J,ح,و,ب,J,U,B,2775,10000
ا   س   د,D   S   A,ا,س,د,A,S,D,8814,10000
ى   ل   ع,E   L   V,ى,ل,ع,V,L,E,62,30000
ل   م   ى,V   Z   L,ل,م,ى,L,Z,V,466,20000
ى   ص   ر,R   X   V,ى,ص,ر,V,X,R,91,20000
ص   س   ر,R   S   X,ص,س,ر,X,S,R,1717,1500
ق   ط   ح,J   T   G,ق,ط,ح,G,T,J,32,10000
ن   ق   ق,G   G   N,ن,ق,ق,N,G,G,833,7000
ل   ل   ه,H   L   L,ل,ل,ه,L,L,H,987,15000
ل   م   ق,G   Z   L,ل,م,ق,L,Z,G,553,6000
ح   ر   س,S   R   J,ح,ر,س,J,R,S,141,35000
ر   ن   ا,A   N   R,ر,ن,ا,R,N,A,7,200000
ى   ل   ق,G   L   V,ى,ل,ق,V,L,G,350,1
ب   ب   ع,E   B   B,ب,ب,ع,B,B,E,222,15000
د   ح   ق,G   J   D,د,ح,ق,D,J,G,34,1000000
م   و   ل,L   U   Z,م,و,ل,Z,U,L,13,50000
ى   م,Z   V,ى,م,,V,Z,,50,45000
ب   د   ص,X   D   B,ب,د,ص,B,D,X,7777,1
م   ن   ه,H   N   Z,م,ن,ه,Z,N,H,60,13200
ع   ل   ى,V   L   E,ع,ل,ى,E,L,V,400,10000
ا   ا   ق,G   A   A,ا,ا,ق,A,A,G,6888,1
ى   م   ك,K   Z   V,ى,م,ك,V,Z,K,408,4000
ن   ص,X   N,ن,ص,,N,X,,668,8000
